location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,31225
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,89
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,116085
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,309
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,213320
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4233
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,258097
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5924
Austria,2021-02-05,Oxford/AstraZeneca,0
Austria,2021-02-05,Pfizer/BioNTech,353842
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,10014
Austria,2021-02-12,Oxford/AstraZeneca,10758
Austria,2021-02-12,Pfizer/BioNTech,455485
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14139
Austria,2021-02-19,Oxford/AstraZeneca,43493
Austria,2021-02-19,Pfizer/BioNTech,521149
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22518
Austria,2021-02-26,Oxford/AstraZeneca,101204
Austria,2021-02-26,Pfizer/BioNTech,582333
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31821
Austria,2021-03-05,Oxford/AstraZeneca,156094
Austria,2021-03-05,Pfizer/BioNTech,686771
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,47177
Austria,2021-03-12,Oxford/AstraZeneca,234789
Austria,2021-03-12,Pfizer/BioNTech,849586
Austria,2021-03-19,Johnson&Johnson,20
Austria,2021-03-19,Moderna,78932
Austria,2021-03-19,Oxford/AstraZeneca,308042
Austria,2021-03-19,Pfizer/BioNTech,982216
Austria,2021-03-26,Johnson&Johnson,34
Austria,2021-03-26,Moderna,104316
Austria,2021-03-26,Oxford/AstraZeneca,383371
Austria,2021-03-26,Pfizer/BioNTech,1128789
Austria,2021-04-02,Johnson&Johnson,59
Austria,2021-04-02,Moderna,140684
Austria,2021-04-02,Oxford/AstraZeneca,421910
Austria,2021-04-02,Pfizer/BioNTech,1277053
Austria,2021-04-09,Johnson&Johnson,112
Austria,2021-04-09,Moderna,180224
Austria,2021-04-09,Oxford/AstraZeneca,512182
Austria,2021-04-09,Pfizer/BioNTech,1498657
Austria,2021-04-16,Johnson&Johnson,123
Austria,2021-04-16,Moderna,222738
Austria,2021-04-16,Oxford/AstraZeneca,608028
Austria,2021-04-16,Pfizer/BioNTech,1732697
Austria,2021-04-23,Johnson&Johnson,128
Austria,2021-04-23,Moderna,260060
Austria,2021-04-23,Oxford/AstraZeneca,656921
Austria,2021-04-23,Pfizer/BioNTech,1996657
Austria,2021-04-30,Johnson&Johnson,401
Austria,2021-04-30,Moderna,299066
Austria,2021-04-30,Oxford/AstraZeneca,699285
Austria,2021-04-30,Pfizer/BioNTech,2270466
Austria,2021-05-07,Johnson&Johnson,6501
Austria,2021-05-07,Moderna,348422
Austria,2021-05-07,Oxford/AstraZeneca,762163
Austria,2021-05-07,Pfizer/BioNTech,2601312
Austria,2021-05-14,Johnson&Johnson,13489
Austria,2021-05-14,Moderna,398393
Austria,2021-05-14,Oxford/AstraZeneca,826286
Austria,2021-05-14,Pfizer/BioNTech,2901205
Austria,2021-05-21,Johnson&Johnson,25736
Austria,2021-05-21,Moderna,466439
Austria,2021-05-21,Oxford/AstraZeneca,903780
Austria,2021-05-21,Pfizer/BioNTech,3279793
Austria,2021-05-28,Johnson&Johnson,37897
Austria,2021-05-28,Moderna,520106
Austria,2021-05-28,Oxford/AstraZeneca,986234
Austria,2021-05-28,Pfizer/BioNTech,3616058
Austria,2021-06-04,Johnson&Johnson,58261
Austria,2021-06-04,Moderna,575606
Austria,2021-06-04,Oxford/AstraZeneca,1054402
Austria,2021-06-04,Pfizer/BioNTech,4042533
Austria,2021-06-11,Johnson&Johnson,79954
Austria,2021-06-11,Moderna,638717
Austria,2021-06-11,Oxford/AstraZeneca,1149204
Austria,2021-06-11,Pfizer/BioNTech,4482410
Austria,2021-06-18,Johnson&Johnson,94927
Austria,2021-06-18,Moderna,688498
Austria,2021-06-18,Oxford/AstraZeneca,1200731
Austria,2021-06-18,Pfizer/BioNTech,4938858
Austria,2021-06-25,Johnson&Johnson,103507
Austria,2021-06-25,Moderna,744268
Austria,2021-06-25,Oxford/AstraZeneca,1273849
Austria,2021-06-25,Pfizer/BioNTech,5385529
Austria,2021-07-02,Johnson&Johnson,128981
Austria,2021-07-02,Moderna,804409
Austria,2021-07-02,Oxford/AstraZeneca,1380645
Austria,2021-07-02,Pfizer/BioNTech,5778472
Austria,2021-07-09,Johnson&Johnson,153155
Austria,2021-07-09,Moderna,855057
Austria,2021-07-09,Oxford/AstraZeneca,1444627
Austria,2021-07-09,Pfizer/BioNTech,6109756
Austria,2021-07-16,Johnson&Johnson,172459
Austria,2021-07-16,Moderna,899879
Austria,2021-07-16,Oxford/AstraZeneca,1492810
Austria,2021-07-16,Pfizer/BioNTech,6385560
Austria,2021-07-23,Johnson&Johnson,188996
Austria,2021-07-23,Moderna,946420
Austria,2021-07-23,Oxford/AstraZeneca,1519566
Austria,2021-07-23,Pfizer/BioNTech,6637041
Austria,2021-07-30,Johnson&Johnson,201060
Austria,2021-07-30,Moderna,965336
Austria,2021-07-30,Oxford/AstraZeneca,1544186
Austria,2021-07-30,Pfizer/BioNTech,6849234
Austria,2021-08-06,Johnson&Johnson,216216
Austria,2021-08-06,Moderna,983133
Austria,2021-08-06,Oxford/AstraZeneca,1558334
Austria,2021-08-06,Pfizer/BioNTech,7027617
Austria,2021-08-13,Johnson&Johnson,226492
Austria,2021-08-13,Moderna,992593
